	Name	M1	M1_atom_number	M2	M2_atom_number	M3	M3_atom_number	Support 	Support_ID	M2_mol	M3_mol	M1_mol%	M2_mol%	M3_mol%	Temp	Total_flow	Ar_flow	CH4_flow	O2_flow	CT	CH4/O2	CH4_conv	C2y	C2H6y	C2H4y	COy	CO2y	C2s	C2H6s	C2H4s	COs	CO2s	BET_surface_area	rate_constant	radii_M1	radii_M2	radii_M3	chi_M1	chi_M2	chi_M3
206	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	20	14.0	4.0	2.0	0.38	2	27.09	4.95	0.58	4.37	22.89	3.39	18.27	2.14	16.13	84.5	12.51	5.2	0.13359767645698206	1.39	1.66	1.62	1.55	0.93	1.7
207	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	10	7.0	2.3	0.8	0.75	3	26.66	5.29	0.64	4.65	21.53	2.97	19.84	2.4	17.44	80.76	11.14	5.2	0.0724674596667751	1.39	1.66	1.62	1.55	0.93	1.7
208	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	15	10.5	3.4	1.1	0.5	3	25.99	6.26	0.79	5.47	21.22	2.89	24.09	3.04	21.05	81.65	11.12	5.2	0.12929038698706258	1.39	1.66	1.62	1.55	0.93	1.7
209	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	20	14.0	4.5	1.5	0.38	3	20.46	5.65	0.73	4.92	16.87	1.86	27.61	3.57	24.05	82.45	9.09	5.2	0.15304977414087406	1.39	1.66	1.62	1.55	0.93	1.7
210	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	10	7.0	2.4	0.6	0.75	4	20.79	6.44	1.08	5.36	15.43	1.65	30.98	5.19	25.78	74.22	7.94	5.2	0.08875632569615081	1.39	1.66	1.62	1.55	0.93	1.7
211	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	15	10.5	3.6	0.9	0.5	4	21.65	6.77	1.25	5.52	13.6	1.48	31.27	5.77	25.5	62.82	6.84	5.2	0.14020125535897815	1.39	1.66	1.62	1.55	0.93	1.7
212	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	20	14.0	4.8	1.2	0.38	4	10.32	4.48	1.3	3.18	7.23	0.58	43.41	12.6	30.81	70.06	5.62	5.2	0.12061720090473516	1.39	1.66	1.62	1.55	0.93	1.7
213	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	10	7.0	2.6	0.4	0.75	6	5.68	3.72	1.34	2.38	4.4	0.22	65.49	23.59	41.9	77.46	3.87	5.2	0.05054609743096023	1.39	1.66	1.62	1.55	0.93	1.7
214	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	15	10.5	3.9	0.6	0.5	6	4.07	2.61	1.18	1.43	3.3	0.13	64.13	28.99	35.14	81.08	3.19	5.2	0.052893300029967005	1.39	1.66	1.62	1.55	0.93	1.7
215	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	750	20	14.0	5.1	0.9	0.38	6	32.26	5.75	0.7	5.05	26.97	8.27	17.82	2.17	15.65	83.6	25.64	5.2	0.155840420157819	1.39	1.66	1.62	1.55	0.93	1.7
216	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	10	1.5	5.7	2.8	0.75	2	32.33	4.52	0.57	3.95	23.69	9.04	13.98	1.76	12.22	73.28	27.96	5.5	0.061671179356616056	1.39	1.66	1.62	1.55	0.93	1.7
217	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	15	2.3	8.5	4.3	0.5	2	32.31	5.22	0.64	4.58	24.84	8.61	16.16	1.98	14.18	76.88	26.65	5.5	0.10722353889729831	1.39	1.66	1.62	1.55	0.93	1.7
218	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	20	3.0	11.3	5.7	0.38	2	34.09	5.62	0.61	5.01	24.54	7.98	16.49	1.79	14.7	71.99	23.41	5.5	0.15221315707855246	1.39	1.66	1.62	1.55	0.93	1.7
219	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	10	1.5	6.4	2.1	0.75	3	20.05	4.87	0.51	4.36	17.44	5.24	24.29	2.54	21.75	86.98	26.13	5.5	0.0665677450263009	1.39	1.66	1.62	1.55	0.93	1.7
220	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	15	2.3	9.6	3.2	0.5	3	21.31	5.46	0.5	4.96	17.69	4.78	25.62	2.35	23.28	83.01	22.43	5.5	0.1122943212460021	1.39	1.66	1.62	1.55	0.93	1.7
221	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	20	3.0	12.8	4.3	0.38	3	21.89	5.91	0.58	5.33	17.78	4.32	27.0	2.65	24.35	81.22	19.74	5.5	0.1603116183405714	1.39	1.66	1.62	1.55	0.93	1.7
222	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	10	1.5	6.8	1.7	0.75	4	18.06	4.7	0.45	4.25	13.68	3.43	26.02	2.49	23.53	75.75	18.99	5.5	0.06418716710391331	1.39	1.66	1.62	1.55	0.93	1.7
223	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	15	2.3	10.2	2.6	0.5	4	16.29	5.38	0.46	4.92	13.64	2.96	33.03	2.82	30.2	83.73	18.17	5.5	0.11060263157017862	1.39	1.66	1.62	1.55	0.93	1.7
224	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	20	3.0	13.6	3.4	0.38	4	16.97	5.74	0.52	5.22	13.57	2.74	33.82	3.06	30.76	79.96	16.15	5.5	0.15556122234870154	1.39	1.66	1.62	1.55	0.93	1.7
225	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	10	1.5	7.3	1.2	0.75	6	11.6	4.45	0.4	4.05	9.61	2.05	38.36	3.45	34.91	82.84	17.67	5.5	0.0606940204024124	1.39	1.66	1.62	1.55	0.93	1.7
226	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	15	2.3	10.9	1.8	0.5	6	9.73	5.03	0.47	4.56	9.68	1.75	51.7	4.83	46.87	99.49	17.99	5.5	0.10321826746646048	1.39	1.66	1.62	1.55	0.93	1.7
227	Mn-Na2WO4/MgO	Mn	25	Na	11	W	74	MgO	6	0.37	0.185	40	40	20	900	20	3.0	14.6	2.4	0.38	6	12.48	5.21	0.42	4.79	9.28	1.53	41.75	3.37	38.38	74.36	12.26	5.5	0.14080596716616095	1.39	1.66	1.62	1.55	0.93	1.7
